modelo,MAE,RMSE,MAPE,WMAPE,R2,Sesgo_pct
Random Forest,0.30027158457211856,0.49614579859066105,9.84592422159637,7.201268427819913,0.9598325597670674,-0.39914712186836016
Gradient Boosting,0.6126025270297359,0.9467947189192111,20.662918717636344,14.691750612993431,0.8537259878916491,-0.002545919416821213
Linear Regression,0.6500727594109733,0.9941304593113599,20.769441432712423,15.590381103835874,0.8387341979542202,0.113563705631888
Ridge,0.6500303765649459,0.994134871011295,20.769234176741794,15.589364656503987,0.8387327666372328,0.11325807713003272
Baseline media movil 7d,1.257523601802861,1.659904213265564,41.20638477385087,30.158581351630794,0.5504048945562332,0.0846040605320062
