canal,filas,real_total,prediccion_total,mae,error_abs_total,error_total,wmape,sesgo_pct
Web Propia,1250,5211.0,5246.548016011766,0.30878183986383984,385.9772998297998,-35.54801601176597,7.406971787177122,-0.6821726350367677
Shein,1298,5356.0,5384.636790131165,0.30699013145517373,398.47319062881553,-28.63679013116517,7.439753372457347,-0.5346674781770944
Miravia,1259,5354.0,5354.504669797795,0.3056634025264882,384.83022378084866,-0.5046697977948899,7.187714302966916,-0.009426032831432384
Amazon,1296,5357.0,5377.241048650423,0.28009659091979694,363.00518183205685,-20.241048650423615,6.776277428263149,-0.3778429839541463
